sample,mae,sam,psnr,ssim
ROIs1158_spring_s2_123_p838,0.020448464900255203,0.10079347342252731,29.20079231262207,0.8316471576690674
ROIs1970_fall_s2_41_p535,0.014822148717939854,0.1446666419506073,33.32498550415039,0.8947113156318665
ROIs2017_winter_s2_108_p368,0.010172827169299126,0.07407890260219574,37.17411422729492,0.9511289000511169
ROIs1970_fall_s2_110_p74,0.014596926979720592,0.0855378732085228,32.8541145324707,0.8738921284675598
ROIs1158_spring_s2_75_p500,0.04424749314785004,0.19136512279510498,24.835552215576172,0.8536891341209412
ROIs1158_spring_s2_128_p521,0.01528665516525507,0.10257469117641449,31.01885223388672,0.9186625480651855
ROIs1158_spring_s2_147_p465,0.02330944687128067,0.09505993127822876,29.03929328918457,0.8329256772994995
ROIs1868_summer_s2_121_p255,0.017397461459040642,0.08592097461223602,31.025697708129883,0.8708745241165161
ROIs1970_fall_s2_64_p72,0.016050118952989578,0.059185199439525604,32.52376937866211,0.9229525327682495
ROIs1868_summer_s2_55_p264,0.015566856600344181,0.05185148864984512,32.85160446166992,0.9090798497200012
ROIs1158_spring_s2_141_p392,0.01540482696145773,0.07193635404109955,33.25519943237305,0.8815557956695557
ROIs1158_spring_s2_120_p69,0.015147789381444454,0.09700404107570648,32.40530014038086,0.8969617486000061
ROIs1868_summer_s2_27_p219,0.02264987863600254,0.07499942183494568,29.956417083740234,0.925900399684906
ROIs2017_winter_s2_116_p448,0.015756158158183098,0.09691023081541061,32.729068756103516,0.8818435072898865
ROIs1158_spring_s2_63_p622,0.017363712191581726,0.05996972322463989,30.98345947265625,0.901447594165802
ROIs2017_winter_s2_75_p552,0.018686369061470032,0.0398685559630394,31.460956573486328,0.9220479130744934
ROIs1970_fall_s2_11_p784,0.018599728122353554,0.1044045239686966,31.372817993164062,0.8938581347465515
ROIs1158_spring_s2_142_p73,0.020422156900167465,0.09767100214958191,29.60319709777832,0.8178925514221191
ROIs2017_winter_s2_61_p657,0.035776782780885696,0.06783569604158401,26.061582565307617,0.7786650061607361
ROIs1970_fall_s2_114_p532,0.01724935509264469,0.10950225591659546,31.575899124145508,0.8589513897895813
ROIs1970_fall_s2_88_p250,0.02241540513932705,0.0699395164847374,29.622417449951172,0.9068200588226318
ROIs1970_fall_s2_11_p512,0.05835122615098953,0.3752313256263733,23.517047882080078,0.5905224680900574
ROIs1158_spring_s2_119_p708,0.011981884017586708,0.07048628479242325,35.36456298828125,0.9061636328697205
ROIs1970_fall_s2_19_p615,0.015099471434950829,0.09210730344057083,32.83564376831055,0.8946567177772522
ROIs1970_fall_s2_91_p347,0.016305845230817795,0.08963167667388916,31.89915657043457,0.8978251218795776
ROIs1158_spring_s2_124_p794,0.012899280525743961,0.05805830657482147,34.5040168762207,0.9248653054237366
ROIs1970_fall_s2_107_p674,0.017949502915143967,0.08906875550746918,30.659555435180664,0.8920616507530212
ROIs1158_spring_s2_106_p279,0.014982746914029121,0.07665274292230606,33.218379974365234,0.9110376834869385
ROIs1970_fall_s2_147_p715,0.013882674276828766,0.06400515139102936,33.9445686340332,0.9125797152519226
ROIs2017_winter_s2_25_p401,0.013051796704530716,0.052178189158439636,34.209049224853516,0.9446358680725098
ROIs1868_summer_s2_80_p40,0.01541949063539505,0.07919514924287796,32.14036560058594,0.9046502113342285
ROIs1970_fall_s2_40_p249,0.033559031784534454,0.08295048028230667,26.589426040649414,0.8543843626976013
ROIs1158_spring_s2_45_p613,0.00828962866216898,0.042940665036439896,37.65907669067383,0.9433432817459106
ROIs1970_fall_s2_85_p526,0.009780398570001125,0.0554920919239521,36.591392517089844,0.9440087676048279
ROIs1868_summer_s2_56_p83,0.012480024248361588,0.07265585660934448,34.236244201660156,0.9249488115310669
ROIs1158_spring_s2_26_p732,0.42094749212265015,0.5221410393714905,6.459356307983398,0.28312110900878906
ROIs1158_spring_s2_31_p177,0.012256625108420849,0.06635046005249023,34.53217697143555,0.9546993374824524
ROIs1158_spring_s2_140_p493,0.034021809697151184,0.12176820635795593,25.920166015625,0.787190854549408
ROIs2017_winter_s2_49_p490,0.011827895417809486,0.04302189499139786,35.37692642211914,0.9561036825180054
ROIs1970_fall_s2_114_p437,0.02007327787578106,0.11679866164922714,30.056894302368164,0.8385806083679199
ROIs2017_winter_s2_49_p495,0.021068261936306953,0.07945626974105835,30.50133514404297,0.9034667015075684
ROIs1970_fall_s2_40_p608,0.018680965527892113,0.07370027899742126,31.562755584716797,0.9117310047149658
ROIs1868_summer_s2_7_p431,0.009074685163795948,0.06031831353902817,37.088539123535156,0.9498593807220459
ROIs1158_spring_s2_26_p206,0.10324986279010773,0.036278992891311646,17.75765609741211,0.5976849794387817
ROIs2017_winter_s2_22_p336,0.011590971611440182,0.0584162175655365,36.082313537597656,0.960676908493042
ROIs1970_fall_s2_22_p560,0.01223622914403677,0.08082160353660583,34.35890579223633,0.895526647567749
ROIs1970_fall_s2_128_p437,0.011729924008250237,0.06505957990884781,35.29079055786133,0.9282863736152649
ROIs1970_fall_s2_33_p587,0.012509124353528023,0.0787818655371666,34.42708206176758,0.9187654852867126
ROIs1158_spring_s2_123_p305,0.0149015411734581,0.0844704657793045,32.31325912475586,0.902528703212738
ROIs1868_summer_s2_114_p179,0.022689267992973328,0.09255841374397278,29.184274673461914,0.8426094651222229
ROIs1868_summer_s2_120_p701,0.008464256301522255,0.04148055613040924,37.2960319519043,0.9481261968612671
ROIs1158_spring_s2_124_p637,0.013066844083368778,0.06135323643684387,34.91622543334961,0.9195583462715149
ROIs2017_winter_s2_108_p510,0.01359573658555746,0.09354151785373688,33.58374786376953,0.8871473670005798
ROIs1868_summer_s2_15_p53,0.014216174371540546,0.060049496591091156,33.21821975708008,0.9428999423980713
ROIs1970_fall_s2_120_p363,0.02571253851056099,0.14549243450164795,27.93293571472168,0.7119003534317017
ROIs1970_fall_s2_14_p101,0.012173395603895187,0.08570878952741623,34.85542297363281,0.9128572344779968
ROIs1970_fall_s2_19_p49,0.016934070736169815,0.09694725275039673,31.880630493164062,0.8960171341896057
ROIs1868_summer_s2_133_p788,0.02443660795688629,0.0961134135723114,26.236120223999023,0.8373193144798279
ROIs1868_summer_s2_31_p822,0.017945652827620506,0.08310838788747787,31.266550064086914,0.838528573513031
ROIs1158_spring_s2_6_p311,0.01363761443644762,0.050381749868392944,34.268455505371094,0.9170089364051819
ROIs1970_fall_s2_1_p161,0.00947727169841528,0.048409901559352875,37.76227569580078,0.9686117768287659
ROIs1970_fall_s2_30_p503,0.010220342315733433,0.07715579122304916,37.29235076904297,0.9318289756774902
ROIs1158_spring_s2_134_p539,0.020599132403731346,0.09493516385555267,29.727825164794922,0.8744825720787048
ROIs1868_summer_s2_127_p114,0.01624242402613163,0.039539650082588196,33.13551330566406,0.9288662075996399
ROIs2017_winter_s2_21_p219,0.01155345980077982,0.07120904326438904,35.550601959228516,0.9313837289810181
ROIs1868_summer_s2_11_p679,0.03599799424409866,0.239801824092865,26.169532775878906,0.9147204160690308
ROIs1970_fall_s2_82_p466,0.014487722888588905,0.04967367276549339,32.90996170043945,0.9529862403869629
ROIs1868_summer_s2_126_p194,0.023020461201667786,0.11119379103183746,28.63854217529297,0.7403954863548279
ROIs2017_winter_s2_25_p282,0.011831439100205898,0.03354120999574661,35.498931884765625,0.963937520980835
ROIs1868_summer_s2_132_p732,0.01637006364762783,0.05763961374759674,31.698041915893555,0.8848618865013123
ROIs1868_summer_s2_72_p339,0.0113880205899477,0.05297490954399109,35.830501556396484,0.9336071610450745
ROIs1158_spring_s2_39_p252,0.012843179516494274,0.05897773802280426,33.67776107788086,0.8999952673912048
ROIs1970_fall_s2_31_p299,0.011281002312898636,0.03432273492217064,35.794410705566406,0.959594190120697
ROIs1868_summer_s2_19_p146,0.013032191433012486,0.05966481566429138,34.77573013305664,0.9429745674133301
ROIs1868_summer_s2_120_p233,0.006586574949324131,0.06972599029541016,41.555633544921875,0.965117871761322
ROIs1970_fall_s2_65_p466,0.013633820228278637,0.04672853648662567,34.3880615234375,0.9436678290367126
ROIs1970_fall_s2_93_p45,0.016814028844237328,0.09602389484643936,31.84950828552246,0.9004666805267334
ROIs2017_winter_s2_63_p175,0.021851057186722755,0.09994297474622726,29.226316452026367,0.8298021554946899
ROIs1158_spring_s2_21_p888,0.011954140849411488,0.09336379170417786,33.488548278808594,0.9127922654151917
ROIs1970_fall_s2_88_p837,0.018877973780035973,0.0865381509065628,31.371002197265625,0.882882297039032
ROIs1970_fall_s2_39_p443,0.01767975464463234,0.10077746957540512,30.942411422729492,0.9441562294960022
ROIs1158_spring_s2_124_p807,0.014005796983838081,0.07055377215147018,34.089168548583984,0.892856240272522
ROIs1158_spring_s2_140_p875,0.0243043452501297,0.09605536609888077,28.050640106201172,0.8308256268501282
ROIs1868_summer_s2_7_p335,0.00837218202650547,0.06379133462905884,37.90593338012695,0.9470475912094116
ROIs1158_spring_s2_77_p686,0.01329953782260418,0.05520498752593994,34.53880310058594,0.9313343167304993
ROIs1970_fall_s2_144_p825,0.023392759263515472,0.1578039824962616,28.65644645690918,0.7683017253875732
ROIs1868_summer_s2_113_p665,0.018284857273101807,0.07816557586193085,30.162429809570312,0.8342825174331665
ROIs1868_summer_s2_40_p390,0.01430601254105568,0.07577230036258698,32.524375915527344,0.8979771137237549
ROIs1158_spring_s2_120_p468,0.014811080880463123,0.09310636669397354,32.306365966796875,0.9075115323066711
ROIs1970_fall_s2_31_p608,0.011194241233170033,0.0371357724070549,36.189476013183594,0.9541890621185303
ROIs2017_winter_s2_116_p658,0.0466214083135128,0.11692167073488235,21.15329933166504,0.7810668349266052
ROIs1970_fall_s2_136_p175,0.012448996305465698,0.07802066206932068,35.841270446777344,0.9224012494087219
ROIs1970_fall_s2_28_p78,0.02210567705333233,0.058201126754283905,30.698179244995117,0.9174777865409851
ROIs1970_fall_s2_26_p286,0.027058841660618782,0.05989003926515579,28.316659927368164,0.8642398118972778
ROIs1970_fall_s2_133_p637,0.015273218974471092,0.09957027435302734,31.809080123901367,0.9021281599998474
ROIs1970_fall_s2_28_p817,0.018150383606553078,0.06908443570137024,32.32962417602539,0.9434131979942322
ROIs2017_winter_s2_64_p62,0.015054818242788315,0.08373310416936874,32.17793655395508,0.9288709163665771
ROIs1158_spring_s2_106_p66,0.0132237384095788,0.05563978850841522,34.293670654296875,0.924604594707489
ROIs1970_fall_s2_64_p662,0.014778532087802887,0.05940793827176094,33.43887710571289,0.918361246585846
ROIs2017_winter_s2_49_p739,0.01713278517127037,0.05340707674622536,31.988075256347656,0.9321975111961365
ROIs1868_summer_s2_47_p542,0.013023079372942448,0.058930233120918274,34.51816177368164,0.9430700540542603
ROIs1970_fall_s2_107_p329,0.014132265001535416,0.08510861545801163,32.744606018066406,0.8966324329376221
ROIs1158_spring_s2_124_p88,0.015252199023962021,0.05890605226159096,33.58850860595703,0.9285131692886353
ROIs1158_spring_s2_31_p357,0.011200793087482452,0.06959299743175507,35.4462776184082,0.9532968997955322
ROIs1970_fall_s2_35_p83,0.008980353362858295,0.06846395134925842,38.19480514526367,0.9689143896102905
ROIs2017_winter_s2_49_p727,0.02077038772404194,0.06785745918750763,30.990995407104492,0.9112830758094788
ROIs1158_spring_s2_66_p561,0.017582522705197334,0.04020223021507263,32.15958786010742,0.949044406414032
ROIs2017_winter_s2_22_p130,0.009416668675839901,0.050451844930648804,37.33150100708008,0.961685061454773
ROIs1868_summer_s2_55_p130,0.01578698493540287,0.051281072199344635,32.99262237548828,0.9264771938323975
ROIs1158_spring_s2_31_p195,0.006671521812677383,0.040056854486465454,39.664268493652344,0.9564021825790405
ROIs1868_summer_s2_17_p420,0.02246997132897377,0.0906936526298523,29.30065155029297,0.8471159934997559
ROIs1868_summer_s2_123_p431,0.012567535974085331,0.08714182674884796,34.01504135131836,0.9307808876037598
ROIs1158_spring_s2_142_p263,0.015612142160534859,0.07222674787044525,32.88764953613281,0.9244456887245178
ROIs1868_summer_s2_7_p678,0.017319263890385628,0.09513018280267715,29.110584259033203,0.9175167679786682
ROIs1970_fall_s2_30_p298,0.01077158935368061,0.07658118009567261,36.76720428466797,0.9368802905082703
ROIs1970_fall_s2_33_p708,0.016898367553949356,0.10330311954021454,31.72105598449707,0.8431811928749084
