phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,1,,38903.06,0.0888846128526506,0.05479374523731184,0.03396731109274641,0.12355651162350147,0.019387601794561726,0.12303367737818326,32.086352996088095,0.8764767979345143
val,1,,39327.46,0.07448544324288127,0.044710014407138815,0.029645523508446285,0.12990542448354173,0.012073843571128885,0.07793750278496253,35.52619473265603,0.9273695928279257
train,2,,38899.92,0.07355883714502066,0.044086530260527106,0.029341729133475786,0.13057782721985103,0.011605555868789159,0.07272781823551218,35.78366972840315,0.9342253696599394
val,2,,39324.48,0.07175186699108917,0.04263925381665066,0.02898156029723902,0.13105277824778377,0.01018665913254981,0.06712503199663024,36.818448665947585,0.9398192357786762
train,3,,38901.53,0.07208545021886201,0.04301263033126524,0.02894330168549911,0.12951822381424355,0.010742228141242564,0.06683457003251164,36.42408085313341,0.9400461637977254
val,3,,39325.9,0.07020404534066146,0.041568979766945645,0.028503207175266713,0.13185847012732912,0.009629120437765037,0.06167050603026991,37.29906821494777,0.9440741684440505
