phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
val,15,,8020.84,0.06434379314041871,0.04608566956252418,0.018116753131685256,0.1413703586824806,0.009124080794081902,0.0469094905741656,36.873312549733086,0.9632652963244693
train,16,,7826.05,0.06316160160917024,0.045528929332660874,0.017491771419420685,0.14090083226678604,0.009163254689669645,0.04778586382331944,36.889858296072205,0.9636473545838762
val,16,,8020.34,0.06280996655913784,0.04557997027832566,0.01708913456923542,0.1408618696325979,0.008706391016892414,0.04664322126938126,37.42560342754829,0.9646459945230864
train,17,,7825.94,0.06293841158379934,0.04578960876844678,0.017009340187224158,0.1394626362412379,0.009110990217294796,0.04752775638101144,36.993184881290794,0.9642050063537241
val,17,,8020.21,0.0620352222475441,0.04542318894567861,0.016471950102116762,0.1400834278934141,0.008984833704663561,0.045788355498454954,36.774620002151636,0.964757173719407
train,18,,7825.67,0.0633198762031265,0.04654213851374667,0.01663737700019733,0.1403606676295777,0.009609207595355216,0.048427938737012045,36.406654896762504,0.9623460226933693
val,18,,8020.02,0.0643282689927799,0.04765812818120402,0.016529398745496037,0.14074216900100275,0.010523561758161683,0.05126117015065894,35.68651999019482,0.9610448273979557
train,19,,7825.12,0.06344389494921462,0.04695020874695035,0.01635361678360731,0.14006936271366838,0.009881443383211716,0.04891935656004896,36.19255172328821,0.9617662060597209
val,19,,8019.38,0.06270981435652948,0.04638175383727169,0.016187430469237072,0.1406300033480551,0.00891636398068176,0.04663757025791935,37.08420916589229,0.9641480212681384
train,20,,7825.62,0.06334432003629964,0.0471105176282373,0.01609395022303785,0.13985220071688134,0.009980273974765658,0.049138342374748775,36.128423986304526,0.9618339141874699
val,20,,8019.77,0.06396890991853522,0.047817356430897004,0.01601094444278619,0.14060896219393498,0.01061767729930656,0.050532318223394296,35.56572083745628,0.9609989578415081
train,21,,7825.74,0.06357568653085255,0.04759080355956062,0.015844386333129824,0.14049662880822777,0.010354722112987342,0.05014567447250185,35.76704554242868,0.9601719412288244
val,21,,8019.85,0.06363114840394102,0.047783351254345165,0.01570662565464723,0.14117143514400984,0.010477419058161987,0.051018908940863465,35.73319295701043,0.9578358844360346
train,22,,7825.72,0.063805674775299,0.048046759910153156,0.015618435531645441,0.14047930844871673,0.010561672567382047,0.050561067568295946,35.637016750332364,0.9589540044131375
val,22,,8019.98,0.0650430986411286,0.048567763807186665,0.01633507340887976,0.1402613546337456,0.01054620353076581,0.05164617672715013,35.85157185679284,0.9601051325094153
train,23,,7825.44,0.064192896326237,0.048621366930985156,0.01543163654446203,0.1398928978789033,0.010814099099824694,0.050595850028273215,35.517871898587856,0.9584062291346631
val,23,,8019.35,0.06332364629366698,0.048329326637298366,0.014853673437487575,0.1406461186167476,0.010157941302112219,0.048738807684884956,36.13783868905634,0.9594385547505669
train,24,,7825.21,0.06403541784914542,0.04884131214531842,0.015054351127884495,0.13975463522197654,0.010822045837510307,0.05070274253477442,35.54960296193562,0.9570666302818179
val,24,,8019.24,0.06314464906749842,0.0483636522287482,0.014640035082354974,0.14096172931746212,0.010418099093419881,0.04899113302903015,35.690809030597606,0.9575055948929646
