phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,7,,41752.43,nan,0.05902826214512143,nan,0.11993589892155354,0.0181401198459445,0.05854799683485695,30.4755736265829,0.9092183094802276
val,7,,42291.74,207.95008440816005,0.05900433321622358,207.89095985681664,0.12048438539038546,0.01807638422988624,0.0580246060557475,30.561686104794063,0.9099687922557865
train,4,,7832.95,1.6708517878649365,0.05849448885039202,1.6122384868130837,0.11881312494785903,0.017588955413220638,0.06070504082512606,31.441785496058838,0.9142672110252474
val,4,,8027.9,1.6270181424839585,0.05738441876792135,1.5695173763407495,0.11634912345186212,0.01624075940084427,0.05785088503983083,32.215396307385035,0.9185616875102561
train,5,,7827.64,1.5780915196357441,0.058247476449826446,1.519730328949933,0.11371379103950542,0.01725456526731665,0.06011136253422643,31.555597114396505,0.9165559429865019
val,5,,8022.45,1.5317977962902805,0.05640667570662981,1.475279387880704,0.11173366676662726,0.015395585063315434,0.060689763320176615,32.651973692058455,0.9240877577993388
train,6,,7826.95,1.4829121969677106,0.057977927601572415,1.4248248867545323,0.10938361074785212,0.01692208219460486,0.059962029240164846,31.72487181662681,0.9178060325367144
val,6,,8021.79,1.4380014108544372,0.0587411696836139,1.3791535190567916,0.1067226205760958,0.017281622411060592,0.060051587710449515,31.22608402393598,0.9164345422993607
train,7,,7826.17,1.3972974543762928,0.05765908928238482,1.3395310543306282,0.1073109504287417,0.01627880166107797,0.059572100807886365,32.07045286104781,0.9195547073012977
val,7,,8021.09,1.3421396680670687,0.055869190151138746,1.2861601208403637,0.11035778750794656,0.014534650927245076,0.05665240665595491,33.07448656275526,0.9259377301017291
train,8,,7826.15,1.339987634467912,0.058713882502546694,1.2811649655026338,0.10878604484772418,0.01699647705883854,0.061917121104564404,31.720989849389138,0.9175644099348189
val,8,,8020.57,1.3157450622939095,0.059730739217129916,1.2559050231252655,0.10929988817242552,0.018516160076775652,0.06350464405559467,30.92367491391626,0.911132449404755
train,9,,7824.95,1.2946016407477707,0.0605406205638363,1.233951383173587,0.10963744840646747,0.018750647863994763,0.06495669124019868,30.845519309200657,0.9124205352818164
val,9,,8020.09,1.2770340256152142,0.05982096200244496,1.217103285023179,0.10977796264887149,0.017702250657518556,0.06873564945701374,31.460935447817103,0.9164232935162947
train,10,,7824.67,1.2471743410744223,0.0608018390348754,1.1862643557490393,0.10814571714449803,0.01905593287648461,0.06680162786106436,30.735285816686527,0.9096299805005068
val,10,,8019.47,1.2031906824066678,0.059939931780916805,1.1431403192870209,0.11043114039250418,0.017801002043828024,0.06565852024294568,31.483255777155335,0.9154771010142752
train,11,,7824.82,1.206179011716099,0.06083930948039786,1.1452209880732158,0.1187137778970888,0.018650421952129122,0.06808796226230426,30.980270431802687,0.9089185023311269
