phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,1,,38893.28,0.3402902533343305,0.06376732466376588,0.27640323831672964,0.11969031092318158,0.02335098546604223,0.10285739182443909,29.87269275182203,0.8791515166544189
val,1,,39317.39,0.3046018807663288,0.055882709881047085,0.2485921122972006,0.12705897083040366,0.018086841033640406,0.06936597479398351,30.77146234552127,0.9205625612054301
train,2,,38890.84,0.297181912980473,0.05274736689843166,0.24430629537745135,0.12825066034928947,0.014451854411921235,0.06367688635534886,32.80748962322431,0.9319738496657475
val,2,,39315.06,0.2980236975390337,0.054614414343217635,0.24328071963434944,0.1285628695423499,0.01588426878793634,0.06101355128427368,32.80490806791223,0.9374705863636904
train,3,,38889.84,0.2887164506717654,0.051006802108170234,0.23757872880935876,0.13091951646160033,0.012425592803708713,0.057078170058731253,34.235073780784575,0.9447478628415231
val,3,,39314.13,0.28705890554739344,0.05320126746267766,0.23372501963026326,0.1326190550299403,0.014405902636067273,0.059840702302628945,33.52960734503543,0.9439217084929592
