phase,epoch,step,elapsed_s,loss,mae,mse
train,0,8500,244.7,0.131964,,
train,0,8600,247.5,0.122169,,
train,0,8700,250.4,0.135172,,
train,0,8800,253.2,0.135707,,
train,0,8900,256.1,0.123385,,
train,0,9000,258.9,0.127577,,
train,0,9100,261.7,0.134837,,
train,0,9200,264.6,0.135902,,
train,0,9300,267.4,0.133045,,
train,0,9400,270.2,0.120623,,
train,0,9500,273.1,0.118982,,
train,0,9600,275.9,0.123402,,
train,0,9700,278.7,0.132310,,
train,0,9800,281.6,0.132817,,
train,0,9900,284.4,0.136324,,
train,0,10000,287.2,0.119365,,
train,0,10100,290.1,0.123512,,
train,0,10200,292.9,0.122741,,
train,0,10300,295.7,0.135699,,
train,0,10400,298.6,0.119369,,
train,0,10500,301.4,0.121791,,
train,0,10600,304.2,0.130497,,
train,0,10700,307.1,0.125782,,
train,0,10800,309.9,0.115955,,
train,0,10900,312.8,0.119975,,
train,0,11000,315.6,0.120981,,
train,0,11100,318.4,0.114805,,
train,0,11200,321.3,0.123081,,
train,0,11300,324.1,0.119858,,
train,0,11400,326.9,0.126331,,
train,0,11500,329.8,0.126809,,
train,0,11600,332.6,0.111800,,
train,0,11700,335.4,0.131845,,
train,0,11800,338.3,0.120150,,
train,0,11900,341.1,0.135700,,
train,0,12000,343.9,0.116219,,
train,0,12100,346.8,0.108837,,
train,0,12200,349.6,0.119716,,
train,0,12300,352.5,0.118555,,
train,0,12400,355.3,0.118591,,
train,0,12500,358.1,0.117565,,
train,0,12600,361.0,0.118324,,
train,0,12700,363.8,0.118580,,
train,0,12800,366.6,0.116797,,
train,0,12900,369.5,0.126911,,
train,0,13000,372.3,0.112167,,
train,0,13100,375.1,0.121832,,
train,0,13200,378.0,0.114868,,
train,0,13300,380.8,0.123525,,
train,0,13400,383.6,0.113859,,
train,0,13500,386.5,0.114687,,
train,0,13600,389.3,0.112453,,
train,0,13700,392.2,0.114246,,
train,0,13800,395.0,0.114628,,
train,0,13900,397.8,0.117811,,
train,0,14000,400.7,0.115837,,
train,0,14100,403.5,0.123505,,
train,0,14200,406.3,0.114081,,
train,0,14300,409.2,0.110246,,
train,0,14400,412.0,0.119045,,
train,0,14500,414.8,0.109637,,
train,0,14600,417.7,0.109409,,
train,0,14700,420.5,0.110765,,
train,0,14800,423.3,0.112155,,
train,0,14900,426.2,0.112296,,
train,0,15000,429.0,0.113648,,
train,0,15100,431.8,0.111451,,
train,0,15200,434.7,0.116462,,
