phase,epoch,step,elapsed_s,loss,l_cycle,l_constr,l_reg,mae,sam,psnr,ssim
train,1,,38935.05,1.9796356119872318,0.0834271634582312,1.8960864923012128,0.1219568742509061,0.040036627462966726,0.08365614812659652,26.52994321000968,0.8411840289941717
train,1,,38923.63,1.984679438171603,0.08343812419063118,1.9011202278891934,0.12108630938783335,0.04011176223385671,0.08444059278858256,26.69760969117314,0.8411975273293987
val,1,,39348.27,1.8210698089333508,0.058398249767072634,1.7625490398631725,0.12251846344388455,0.017695049753979734,0.06468851675070861,31.61131012341208,0.9068063601038185
train,2,,38920.88,1.796330379787697,0.05969230711930517,1.7365161871923969,0.12188664782691529,0.018966706749160196,0.06393207990365785,30.767746854043473,0.9062470848178115
val,2,,39345.42,1.7637584101070056,0.05731076570013601,1.7063243710734277,0.12327078407300045,0.016360367715289235,0.059798876810799095,32.13611874581554,0.9161655589061481
train,3,,38920.05,1.7490647269571664,0.058711031440982546,1.6902326306250681,0.12106472999074273,0.017746881102091192,0.06226328083124052,31.38529040003919,0.9120361258080438
val,3,,39344.56,1.7109824748429814,0.059020767957289146,1.6518412185626339,0.12048438539038546,0.018076384200622853,0.058024605943571186,30.56168613475977,0.909968791865608
